"","MMSI","IMO","VESSEL_NAME","VESSEL_TYPE","FLAG","LENGTH.METERS.","WIDTH.METERS.","STATUS","SPEED.KNOTSx10.","LON","LAT","COURSE","HEADING","TIMESTAMP"
"1",310610000,9424883,"AZURA","Passenger Ship","Bermuda",289.61,36.05,0,100,-61.92951,15.74529,337,347,"1/1/2018 0:00"
"2",341683000,9038555,"LOVELY I","Passenger Ship","St Kitts Nevis",41.57,11,0,0,-61.46019,15.56339,0,511,"1/1/2018 0:11"
"3",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,115,-61.39793,15.00378,324,326,"1/1/2018 0:19"
"4",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,114,-61.40321,15.01121,324,325,"1/1/2018 0:22"
"5",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,115,-61.56855,15.00782,339,340,"1/1/2018 0:30"
"6",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,114,-61.42005,15.03466,325,324,"1/1/2018 0:31"
"7",341683000,9038555,"LOVELY I","Passenger Ship","St Kitts Nevis",41.57,11,0,0,-61.46018,15.56338,0,511,"1/1/2018 0:34"
"8",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,113,-61.43901,15.06081,324,326,"1/1/2018 0:41"
"9",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,114,-61.58313,15.04267,338,340,"1/1/2018 0:42"
"10",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,113,-61.45677,15.08686,326,329,"1/1/2018 0:51"
"11",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,112,-61.59617,15.074,337,340,"1/1/2018 0:52"
"12",341683000,9038555,"LOVELY I","Passenger Ship","St Kitts Nevis",41.57,11,0,0,-61.46018,15.56338,0,511,"1/1/2018 0:55"
"13",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,112,-61.60567,15.09642,339,341,"1/1/2018 1:00"
"14",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,114,-61.47616,15.11779,330,333,"1/1/2018 1:02"
"15",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,112,-61.6193,15.12822,335,340,"1/1/2018 1:11"
"16",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,115,-61.49212,15.1445,327,329,"1/1/2018 1:12"
"17",341683000,9038555,"LOVELY I","Passenger Ship","St Kitts Nevis",41.57,11,0,0,-61.46018,15.56339,0,511,"1/1/2018 1:20"
"18",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,112,-61.50683,15.16672,327,330,"1/1/2018 1:20"
"19",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,113,-61.6324,15.15833,337,340,"1/1/2018 1:21"
"20",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,113,-61.64365,15.1845,337,339,"1/1/2018 1:30"
"21",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,115,-61.52633,15.1968,328,329,"1/1/2018 1:32"
"22",341683000,9038555,"LOVELY I","Passenger Ship","St Kitts Nevis",41.57,11,0,0,-61.46017,15.56338,0,511,"1/1/2018 1:40"
"23",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,114,-61.65547,15.21288,337,340,"1/1/2018 1:40"
"24",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,118,-61.54214,15.22097,327,329,"1/1/2018 1:40"
"25",310504000,9187887,"PACIFIC PRINCESS","Passenger Ship","Bermuda",181,25.46,0,117,-61.66779,15.24295,338,340,"1/1/2018 1:50"
"26",311084000,8707343,"STAR PRIDE","Passenger Ship","Bahamas",133.4,20.5,0,115,-61.56069,15.24922,328,329,"1/1/2018 1:51"
